2024-02-26 19:06:48 | GOAL | tasks.alfworld | Example 0 | Goal: look at bowl under the desklamp.
2024-02-26 19:06:48 | INFO | tasks.alfworld | Step 00 - Message: You are in the middle of a room. Looking quickly around you, you see a bed 1, a desk 2, a desk 1, a drawer 6, a drawer 5, a drawer 4, a drawer 3, a drawer 2, a drawer 1, a garbagecan 1, a laundryhamper 1, a safe 1, a shelf 6, a shelf 5, a shelf 4, a shelf 3, a shelf 2, and a shelf 1.
2024-02-26 19:06:56 | INFO | tasks.alfworld | Step 00 - Action: go to desk 1
2024-02-26 19:06:57 | INFO | tasks.alfworld | Step 00 - Observation: On the desk 1, you see a desklamp 1, a keychain 3, a mug 2, a pen 2, a pen 1, and a pencil 2.
2024-02-26 19:06:57 | INFO | tasks.alfworld | Step 00 - Progress Rate: 0.25

2024-02-26 19:07:00 | INFO | tasks.alfworld | Step 01 - Action: 
2024-02-26 19:07:00 | INFO | tasks.alfworld | Step 01 - Observation: Nothing happens.
2024-02-26 19:07:00 | INFO | tasks.alfworld | Step 01 - Progress Rate: 0.25

2024-02-26 19:07:03 | INFO | tasks.alfworld | Step 02 - Action: 
2024-02-26 19:07:03 | INFO | tasks.alfworld | Step 02 - Observation: Nothing happens.
2024-02-26 19:07:03 | INFO | tasks.alfworld | Step 02 - Progress Rate: 0.25

2024-02-26 19:07:05 | INFO | tasks.alfworld | Step 03 - Action: 
2024-02-26 19:07:05 | INFO | tasks.alfworld | Step 03 - Observation: Nothing happens.
2024-02-26 19:07:05 | INFO | tasks.alfworld | Step 03 - Progress Rate: 0.25

2024-02-26 19:07:07 | INFO | tasks.alfworld | Step 04 - Action: 
2024-02-26 19:07:07 | INFO | tasks.alfworld | Step 04 - Observation: Nothing happens.
2024-02-26 19:07:07 | INFO | tasks.alfworld | Step 04 - Progress Rate: 0.25

2024-02-26 19:07:09 | INFO | tasks.alfworld | Step 05 - Action: 
2024-02-26 19:07:09 | INFO | tasks.alfworld | Step 05 - Observation: Nothing happens.
2024-02-26 19:07:09 | INFO | tasks.alfworld | Step 05 - Progress Rate: 0.25

2024-02-26 19:07:11 | INFO | tasks.alfworld | Step 06 - Action: 
2024-02-26 19:07:11 | INFO | tasks.alfworld | Step 06 - Observation: Nothing happens.
2024-02-26 19:07:11 | INFO | tasks.alfworld | Step 06 - Progress Rate: 0.25

2024-02-26 19:07:13 | INFO | tasks.alfworld | Step 07 - Action: 
2024-02-26 19:07:13 | INFO | tasks.alfworld | Step 07 - Observation: Nothing happens.
2024-02-26 19:07:13 | INFO | tasks.alfworld | Step 07 - Progress Rate: 0.25

2024-02-26 19:07:15 | INFO | tasks.alfworld | Step 08 - Action: 
2024-02-26 19:07:15 | INFO | tasks.alfworld | Step 08 - Observation: Nothing happens.
2024-02-26 19:07:15 | INFO | tasks.alfworld | Step 08 - Progress Rate: 0.25

2024-02-26 19:07:17 | INFO | tasks.alfworld | Step 09 - Action: 
2024-02-26 19:07:17 | INFO | tasks.alfworld | Step 09 - Observation: Nothing happens.
2024-02-26 19:07:17 | INFO | tasks.alfworld | Step 09 - Progress Rate: 0.25

2024-02-26 19:07:19 | INFO | tasks.alfworld | Step 10 - Action: 
2024-02-26 19:07:19 | INFO | tasks.alfworld | Step 10 - Observation: Nothing happens.
2024-02-26 19:07:19 | INFO | tasks.alfworld | Step 10 - Progress Rate: 0.25

2024-02-26 19:07:21 | INFO | tasks.alfworld | Step 11 - Action: 
2024-02-26 19:07:21 | INFO | tasks.alfworld | Step 11 - Observation: Nothing happens.
2024-02-26 19:07:21 | INFO | tasks.alfworld | Step 11 - Progress Rate: 0.25

2024-02-26 19:07:23 | INFO | tasks.alfworld | Step 12 - Action: 
2024-02-26 19:07:23 | INFO | tasks.alfworld | Step 12 - Observation: Nothing happens.
2024-02-26 19:07:23 | INFO | tasks.alfworld | Step 12 - Progress Rate: 0.25

2024-02-26 19:07:25 | INFO | tasks.alfworld | Step 13 - Action: 
2024-02-26 19:07:26 | INFO | tasks.alfworld | Step 13 - Observation: Nothing happens.
2024-02-26 19:07:26 | INFO | tasks.alfworld | Step 13 - Progress Rate: 0.25

2024-02-26 19:07:28 | INFO | tasks.alfworld | Step 14 - Action: 
2024-02-26 19:07:28 | INFO | tasks.alfworld | Step 14 - Observation: Nothing happens.
2024-02-26 19:07:28 | INFO | tasks.alfworld | Step 14 - Progress Rate: 0.25

2024-02-26 19:07:30 | INFO | tasks.alfworld | Step 15 - Action: 
2024-02-26 19:07:30 | INFO | tasks.alfworld | Step 15 - Observation: Nothing happens.
2024-02-26 19:07:30 | INFO | tasks.alfworld | Step 15 - Progress Rate: 0.25

2024-02-26 19:07:32 | INFO | tasks.alfworld | Step 16 - Action: 
2024-02-26 19:07:32 | INFO | tasks.alfworld | Step 16 - Observation: Nothing happens.
2024-02-26 19:07:32 | INFO | tasks.alfworld | Step 16 - Progress Rate: 0.25

2024-02-26 19:07:34 | INFO | tasks.alfworld | Step 17 - Action: 
2024-02-26 19:07:34 | INFO | tasks.alfworld | Step 17 - Observation: Nothing happens.
