2024-02-15 19:30:44 | GOAL | tasks.alfworld | Example 0 | Goal: look at bowl under the desklamp.
2024-02-15 19:30:44 | INFO | tasks.alfworld | Step 00 - Message: You are in the middle of a room. Looking quickly around you, you see a bed 1, a desk 2, a desk 1, a drawer 6, a drawer 5, a drawer 4, a drawer 3, a drawer 2, a drawer 1, a garbagecan 1, a laundryhamper 1, a safe 1, a shelf 6, a shelf 5, a shelf 4, a shelf 3, a shelf 2, and a shelf 1.
2024-02-15 19:30:46 | INFO | tasks.alfworld | Step 00 - Action: go to desk 1
2024-02-15 19:30:47 | INFO | tasks.alfworld | Step 00 - Observation: On the desk 1, you see a desklamp 1, a keychain 3, a mug 2, a pen 2, a pen 1, and a pencil 2.
2024-02-15 19:30:47 | INFO | tasks.alfworld | Step 00 - Progress Rate: 0.25

2024-02-15 19:30:48 | INFO | tasks.alfworld | Step 01 - Action: examine desklamp 1
2024-02-15 19:30:48 | INFO | tasks.alfworld | Step 01 - Observation: Nothing happens.
2024-02-15 19:30:48 | INFO | tasks.alfworld | Step 01 - Progress Rate: 0.25

2024-02-15 19:30:51 | INFO | tasks.alfworld | Step 02 - Action: inventory
2024-02-15 19:30:51 | INFO | tasks.alfworld | Step 02 - Observation: You are not carrying anything.
2024-02-15 19:30:51 | INFO | tasks.alfworld | Step 02 - Progress Rate: 0.25

2024-02-15 19:30:53 | INFO | tasks.alfworld | Step 03 - Action: go to desk 2
2024-02-15 19:30:53 | INFO | tasks.alfworld | Step 03 - Observation: On the desk 2, you see a alarmclock 1, a bowl 1, and a cd 3.
2024-02-15 19:30:53 | INFO | tasks.alfworld | Step 03 - Progress Rate: 0.5

2024-02-15 19:30:55 | INFO | tasks.alfworld | Step 04 - Action: examine bowl 1
2024-02-15 19:30:55 | INFO | tasks.alfworld | Step 04 - Observation: Nothing happens.
2024-02-15 19:30:55 | INFO | tasks.alfworld | Step 04 - Progress Rate: 0.5

2024-02-15 19:30:57 | INFO | tasks.alfworld | Step 05 - Action: go to shelf 1
2024-02-15 19:30:57 | INFO | tasks.alfworld | Step 05 - Observation: On the shelf 1, you see a cellphone 3, and a creditcard 2.
2024-02-15 19:30:57 | INFO | tasks.alfworld | Step 05 - Progress Rate: 0.5

2024-02-15 19:30:57 | GUESS_ACTION | tasks.alfworld | Step 06 - Action: go to shelf 2
2024-02-15 19:30:57 | INFO | tasks.alfworld | Step 06 - Observation: On the shelf 2, you see a mug 1.
2024-02-15 19:30:57 | INFO | tasks.alfworld | Step 06 - Progress Rate: 0.5

2024-02-15 19:30:59 | INFO | tasks.alfworld | Step 07 - Action: go to shelf 3
2024-02-15 19:30:59 | INFO | tasks.alfworld | Step 07 - Observation: On the shelf 3, you see a desklamp 1, a pen 1, and a pencil 2.
2024-02-15 19:30:59 | INFO | tasks.alfworld | Step 07 - Progress Rate: 0.5

2024-02-15 19:30:59 | GUESS_ACTION | tasks.alfworld | Step 08 - Action: examine bowl 4
2024-02-15 19:30:59 | INFO | tasks.alfworld | Step 08 - Observation: Nothing happens.
2024-02-15 19:30:59 | INFO | tasks.alfworld | Step 08 - Progress Rate: 0.5

2024-02-15 19:31:01 | INFO | tasks.alfworld | Step 09 - Action: go to shelf 4
2024-02-15 19:31:01 | INFO | tasks.alfworld | Step 09 - Observation: On the shelf 4, you see a pencil 3.
2024-02-15 19:31:01 | INFO | tasks.alfworld | Step 09 - Progress Rate: 0.5

2024-02-15 19:31:01 | GUESS_ACTION | tasks.alfworld | Step 10 - Action: go to shelf 5
2024-02-15 19:31:01 | INFO | tasks.alfworld | Step 10 - Observation: On the shelf 5, you see nothing.
2024-02-15 19:31:01 | INFO | tasks.alfworld | Step 10 - Progress Rate: 0.5

2024-02-15 19:31:02 | INFO | tasks.alfworld | Step 11 - Action: go to shelf 6
2024-02-15 19:31:02 | INFO | tasks.alfworld | Step 11 - Observation: On the shelf 6, you see nothing.
2024-02-15 19:31:02 | INFO | tasks.alfworld | Step 11 - Progress Rate: 0.5

2024-02-15 19:31:02 | GUESS_ACTION | tasks.alfworld | Step 12 - Action: go to desklamp 2
2024-02-15 19:31:02 | INFO | tasks.alfworld | Step 12 - Observation: Nothing happens.
2024-02-15 19:31:02 | INFO | tasks.alfworld | Step 12 - Progress Rate: 0.5

2024-02-15 19:31:04 | INFO | tasks.alfworld | Step 13 - Action: go to desk 1
2024-02-15 19:31:04 | INFO | tasks.alfworld | Step 13 - Observation: On the desk 1, you see a desklamp 1, a keychain 3, a mug 2, a pen 2, a pen 1, and a pencil 2.
2024-02-15 19:31:04 | INFO | tasks.alfworld | Step 13 - Progress Rate: 0.5

2024-02-15 19:31:04 | GUESS_ACTION | tasks.alfworld | Step 14 - Action: use desklamp 1
2024-02-15 19:31:05 | INFO | tasks.alfworld | Step 14 - Observation: You turn on the desklamp 1.
2024-02-15 19:31:05 | INFO | tasks.alfworld | Step 14 - Progress Rate: 0.5

